City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System,IP_Masked
Oregon,Oregon,United States,97207,45.5235,-122.676,America/Los_Angeles,"Amazon.com, Inc.",AWS EC2 (us-west-2),"AS16509 Amazon.com, Inc.",35.xxx.xxx.xxx
Mexico City,Mexico City,Mexico,1120,19.4,-99.2072,America/Mexico_City,UNINET,Other,AS8151 UNINET,189.xxx.xxx.xxx
Victoria,Victoria,Australia,3001,-37.8136,144.963,Australia/Melbourne,Uniware Managed Services Pty Ltd,Other,AS45601 Uniware Managed Services Pty Ltd,203.xxx.xxx.xxx
Tennessee,Tennessee,United States,37403,35.0375,-85.2932,America/New_York,Peace Communications LLC,Other,AS6203 Peace Communications LLC,207.xxx.xxx.xxx
Guangdong,Guangdong,China,,23.379,113.763,Asia/Shanghai,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,14.xxx.xxx.xxx
North Chungcheong,North Chungcheong,South Korea,28046,36.8197,127.6564,Asia/Seoul,Korea Telecom,Other,AS4766 Korea Telecom,121.xxx.xxx.xxx
Tokyo,Tokyo,Japan,136-0071,35.703,139.8308,Asia/Tokyo,Internet Initiative Japan,Other,"AS131916 Tokyo Bay Network Co.,Ltd.",202.xxx.xxx.xxx
Santa Catarina,Santa Catarina,Brazil,88370,-27.2076,-49.1147,America/Sao_Paulo,Vivo,Other,AS26599 TELEFÔNICA BRASIL S.A,179.xxx.xxx.xxx
Prague,Prague,Czechia,120 00,50.0755,14.4378,Europe/Prague,Network of Ignum s.r.o.,Other,"AS29134 Webglobe, s.r.o.",217.xxx.xxx.xxx
Miranda,Miranda,Venezuela,,10.497,-66.8427,America/Caracas,"TELEFONICA VENEZOLANA, C.A.",Other,"AS6306 TELEFONICA VENEZOLANA, C.A.",186.xxx.xxx.xxx
Rio de Janeiro,Rio de Janeiro,Brazil,,-22.9027,-43.2194,America/Sao_Paulo,TIM S/A,Tim Celular S.A.,AS26615 TIM S/A,191.xxx.xxx.xxx
Georgia,Georgia,United States,30319,33.8503,-84.3471,America/New_York,AT&T Mobility LLC,Other,,184.xxx.xxx.xxx
Tokyo,Tokyo,Japan,100-0001,35.694,139.754,Asia/Tokyo,Amazon Technologies Inc,Other,,3.xxx.xxx.xxx
Budapest,Budapest,Hungary,1013,47.5636,19.0947,Europe/Budapest,Telenor Hungary Plc,Other,AS213155 Yettel Hungary Ltd.,84.xxx.xxx.xxx
Oregon,Oregon,United States,97207,45.5235,-122.676,America/Los_Angeles,"Amazon.com, Inc.",AWS EC2 (us-west-2),"AS16509 Amazon.com, Inc.",35.xxx.xxx.xxx
