Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
Andalusia,Spain,29***,36.5,-4.6,Europe/Madrid,Telefonica de Espana SAU,RIMA (Red IP Multi Acceso),AS3352 TELEFONICA DE ESPANA S.A.U.
Central Java,Indonesia,,-7.7,110.6,Asia/Jakarta,PT. INDOSAT Tbk,IOH B2B,AS4761 INDOSAT Internet Network Provider
Gyeonggi-do,South Korea,13***,37.4,127.1,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Ohio,United States,43***,40.1,-83.1,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc."
New South Wales,Australia,10**,-33.9,151.2,Australia/Sydney,Telstra Internet,,AS1221 Telstra Corporation Ltd
Alabama,United States,36***,32.4,-86.2,America/Chicago,DoD Network Information Center,Air Force Systems Networking,AS721 DoD Network Information Center
England,United Kingdom,CR*,51.4,-0.2,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
Free and Hanseatic City of Hamburg,Germany,22***,53.6,10.0,Europe/Berlin,Telefonica Deutschland GmbH,Telefonica Deutschland GmbH,AS6805 Telefonica Germany GmbH & Co.OHG
England,United Kingdom,W1*,51.5,-0.1,Europe/London,Amazon Technologies Inc.,Amazon Technologies Inc,
Illinois,United States,60***,41.7,-88.0,America/Chicago,Argonne National Laboratory,Argonne National Laboratory,AS683 Argonne National Laboratory
Washington,United States,98***,47.6,-122.3,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
New Jersey,United States,70**,40.9,-74.1,America/New_York,Static IP Services,Darlingt ON Swim,AS6128 Cablevision Systems Corp.
New York,United States,10***,40.7,-74.0,America/New_York,CenturyLink,"CenturyLink, Inc","AS209 CenturyLink Communications, LLC"
Ohio,United States,43***,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Tokyo,Japan,10******,35.7,139.8,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK BB CORP,AS17676 SoftBank Corp.
Kyoto,Japan,61******,34.8,135.8,Asia/Tokyo,"Kintetsu Cable Network Co., Ltd.","Kintetsu Cable Network, Ltd","AS18081 Kintetsu Cable Network Co., Ltd."
,,,,,,,,
England,United Kingdom,HP**,51.7,-0.7,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
,,,,,,,,
