City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
São Paulo,São Paulo,Brazil,01000-000,-24.0,-47.0,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS26599 TELEFÔNICA BRASIL S.A
Springfield,Massachusetts,United States,1111,42.0,-73.0,America/New_York,Massachusetts Mutual Life Insurance Co.,Massachusetts Mutual Life Insurance Co,
Whitehall,Ohio,United States,43218,40.0,-83.0,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Washington,District of Columbia,United States,20068,39.0,-77.0,America/New_York,"AT&T Services, Inc.",AT&T Internet Services,"AS7018 AT&T Services, Inc."
London,England,United Kingdom,W1B,52.0,-0.0,Europe/London,Microsoft Limited,Microsoft Limited,
,,,,,,,,,
Vienna,Vienna,Austria,1030,48.0,16.0,Europe/Vienna,T-Mobile Austria,T-Mobile Austria GmbH,AS8412 T-Mobile Austria GmbH
Tianjin,Tianjin,China,,39.0,117.0,Asia/Shanghai,China Education and Research Network Center,China Education and Research Network,AS4538 China Education and Research Network Center
London,England,United Kingdom,W1B,52.0,-0.0,Europe/London,UK Ministry of Defence,UK Ministry of Defence,
Chaowai,Beijing,China,,40.0,116.0,Asia/Shanghai,CHINANETCENTER,ChinaNetCenter Ltd.,
Beijing,Beijing,China,100000,40.0,116.0,Asia/Shanghai,HWCSNET,Huawei Public Cloud Service,
Calgary,Alberta,Canada,T2R,51.0,-114.0,America/Edmonton,Amazon Technologies Inc,Amazon Technologies Inc,
Centreville,Virginia,United States,20120,39.0,-77.0,America/New_York,American Registry Internet Numbers,American Registry Internet Numbers,
,,,,,,,,,
Cairo,Cairo Governorate,Egypt,,30.0,31.0,Africa/Cairo,Etisalat Misr,Mobile,AS36992 ETISALAT MISR
Houston,Texas,United States,77056,30.0,-95.0,America/Chicago,Apache Corporation,Apache Corporation,
,,,,,,,,,
Rochester,New York,United States,14609,43.0,-78.0,America/New_York,ICL,"ICL, Inc.",
,,,,,,,,,
Broadmeadows,Victoria,Australia,3047,-38.0,145.0,Australia/Melbourne,Ericsson Inc.,Eric,AS158 Ericsson Inc.
Beijing,Beijing,China,100000,40.0,116.0,Asia/Shanghai,CHINA UNICOM China169 Backbone,Jnsib Ibar,AS4837 CHINA UNICOM China169 Backbone
Bernardsville,New Jersey,United States,7920,41.0,-75.0,America/New_York,Avaya Inc.,Avaya Inc.,AS18676 Avaya Inc.
Chennai,Tamil Nadu,India,600001,13.0,80.0,Asia/Kolkata,Microsoft Corporation,Microsoft Azure Cloud (southindia),AS8075 Microsoft Corporation
Olympia,Washington,United States,98513,47.0,-123.0,America/Los_Angeles,Pierce County,Pierce County,AS33348 Pierce County
Konopiska,Silesia,Poland,42-274,51.0,19.0,Europe/Warsaw,"IntegraDesign, Mariusz Barczyk","IntegraDesign, Mariusz Barczyk","AS61154 IntegraDesign, Mariusz Barczyk"
,,,,,,,,,
Gresse,Mecklenburg-Vorpommern,Germany,19258,53.0,11.0,Europe/Berlin,Vodafone D2 GmbH,ARCOR-IP,AS3209 Vodafone GmbH
Jinrongjie,Beijing,China,,40.0,116.0,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,
Concord,California,United States,94520,38.0,-122.0,America/Los_Angeles,Bank of America,"Bank of America, National Association",
Maiden,North Carolina,United States,,36.0,-81.0,America/New_York,Apple Inc.,Apple Inc,AS714 Apple Inc.
,,,,,,,,,
Beijing,Beijing,China,100000,40.0,116.0,Asia/Shanghai,China Unicom Shenzen network,HengShengChang Paper,AS17623 China Unicom Shenzen network
London,England,United Kingdom,W1B,52.0,-0.0,Europe/London,Bell Canada,Bell Canada,
Fairfax,Virginia,United States,22031,39.0,-77.0,America/New_York,Inova Health System Foundation,Inova Health System Foundation,AS393861 Inova Health System Foundation
Dearborn,Michigan,United States,48121,42.0,-83.0,America/Detroit,Ford Motor Company,Ford Motor Company,
Paris,Île-de-France,France,75000,49.0,2.0,Europe/Paris,TVCCONV,France Telecom services,
Calais,Hauts-de-France,France,62100,51.0,2.0,Europe/Paris,ProXad network / Free SAS,Proxad / Free SAS,AS12322 Free SAS
